Date,Day of the week,App (Use all CAPITALS),Minutes,Category
8/24,Thursday,TIKTOK,108,Social Media
8/24,Thursday,INSTAGRAM,38,Social Media
8/24,Thursday,HITV,29,Entertainment
8/24,Thursday,CAMERA,14,Entertainment
8/25,Friday,TIKTOK,305,Social Media
8/25,Friday,CANVAS STUDENT,79,Education
8/25,Friday,MYOPENMATH.COM,76,Education
8/25,Friday,INSTAGRAM,41,Social Media
8/26,Saturday,TIKTOK,436,Social Media
8/26,Saturday,INSTAGRAM,64,Social Media
8/26,Saturday,NETFLIX,31,Entertainment
8/26,Saturday,HITV,29,Entertainment
8/26,Saturday,CUBE BLOCK,15,Entertainment
8/27,Sunday,TIKTOK,262,Social Media
8/27,Sunday,NETFLIX,107,Entertainment
8/27,Sunday,INSTAGRAM,102,Social Media
8/27,Sunday,YOUTUBE,24,Entertainment
8/28,Monday,TIKTOK,252,Social Media
8/28,Monday,INSTAGRAM,130,Social Media
8/28,Monday,NETFLIX,56,Entertainment
8/28,Monday,MESSAGES,25,Other
8/28,Monday,PHOTO,19,Entertainment
8/29,Tuesday,TIKTOK,288,Social Media
8/29,Tuesday,INSTAGRAM,62,Social Media
8/29,Tuesday,ROBLOX,17,Entertainment
8/29,Tuesday,SNAPCHAT,6,Social Media
8/30,Wednesday,TIKTOK,211,Social Media
8/30,Wednesday,INSTAGRAM,110,Social Media
8/30,Wednesday,NETFLIX,50,Entertainment
8/30,Wednesday,DOCS,37,Education
8/31,Thursday,TIKTOK,224,Social Media
8/31,Thursday,INSTAGRAM,65,Social Media
8/31,Thursday,MESSAGES,30,Other
8/31,Thursday,SETTING,13,Education